val_loss,val_acc,loss,acc
0.688187301158905,0.579200029373169,0.7056383510165745,0.5090666666878594
0.476787805557251,0.7799999713897705,0.6009035638491312,0.6684444444656372
0.3900390565395355,0.8312000036239624,0.4162172895113627,0.8119999999682108
0.32303011417388916,0.8744000196456909,0.3295177108340793,0.8578222223281861
0.3114502727985382,0.8748000264167786,0.2855738076739841,0.8824000000635783
0.289957195520401,0.8848000168800354,0.24904446234967972,0.8976888889100817
0.2864218056201935,0.885200023651123,0.22123717102209728,0.9115111112276713
0.2863979637622833,0.8899999856948853,0.19536584609879387,0.9256888888359069
0.29088854789733887,0.8880000114440918,0.173578972585996,0.931777777894338
0.2870607078075409,0.892799973487854,0.15520388046900432,0.9411999999894036
0.2989369034767151,0.8924000263214111,0.14174169404771592,0.9467555555449592
0.3046940565109253,0.8859999775886536,0.12450280883312226,0.9531111111429003
0.31065744161605835,0.8884000182151794,0.11442954492701425,0.9557333334604899
0.3277483284473419,0.8876000046730042,0.10072342412074407,0.9624888889736599
0.32785606384277344,0.885200023651123,0.0938157815641827,0.9634222222540114
0.33882543444633484,0.8827999830245972,0.08741428815523783,0.9659555555979411
0.35780569911003113,0.8823999762535095,0.0762879312607977,0.9717777779049344
0.3480916917324066,0.8876000046730042,0.07074267656339539,0.9736444445292155
0.36359161138534546,0.8784000277519226,0.06760658117532731,0.9744444445716011
0.3842115104198456,0.8759999871253967,0.061285637993282745,0.9760888888782925
